,Nombre
11782,MINI COUNTRYMAN ONE AUTOMÁTICO
11783,MINI COUNTRYMAN ONE D AUTOMÁTICO
11784,MINI COUNTRYMAN ONE D MANUAL
11785,MINI COUNTRYMAN ONE MANUAL
11789,Mitsubishi ECLIPSE CROSS 150T 8CVT Kaiteki 4WD MY 20
11790,Mitsubishi ECLIPSE CROSS 150T 8CVT Motion MY 20
11791,Mitsubishi ECLIPSE CROSS 150T Challenge MY 20
11795,Mitsubishi ECLIPSE CROSS 150T Motion MY 20
11797,Mitsubishi ECLIPSE CROSS 150T Spirit MY 20
11799,Mitsubishi ECLIPSE CROSS 220 DI-D 8AT Kaiteki 4WD MY 20
11800,Mitsubishi L200 C/C 220 DI-D M-PRO MY 20
11802,Mitsubishi L200 D/C 220 DI-D 6AT Kaiteky MY 20
11803,Mitsubishi L200 D/C 220 DI-D 6AT M-PRO MY 20
11804,Mitsubishi L200 D/C 220 DI-D 6AT Motion MY 20
11805,Mitsubishi L200 D/C 220 DI-D M-PRO MY 20
11812,Mitsubishi Outlander 200 MPI CVT Kaiteki 2WD 7 plazas MY 20
11813,Mitsubishi Outlander 200 MPI CVT Kaiteki 4WD 7 plazas MY 20
11815,Mitsubishi Outlander 200 MPI CVT Motion 2WD 5 plazas MY 20
11817,Mitsubishi Outlander 200 MPI CVT Motion 2WD 7 plazas MY 20
11818,Mitsubishi Outlander PHEV Kaiteki 4WD MY 20
11821,Mitsubishi Outlander PHEV Kaiteki+ 4WD MY 20
11823,Mitsubishi Outlander PHEV Motion 4WD MY 20
11826,Mitsubishi SPACE STAR 120 MPI Kaiteki MY 19
11828,Mitsubishi SPACE STAR 120 MPI Motion MY 19
11840,Nissan eNV200 Evalia 7 40 kWh
11842,Nissan eNV200 Furgón 5p 40 kWh
11843,Nissan eNV200 Furgón 5p 40 kWh PREMIUM Mam
11923,Nissan NT400 4.5T 150CV/2 Cabina Simple Euro 6
11943,Nissan NV200 FURGON 110CV COMFORT + PACK PREMIUM+ MAMPARA REJILLA (2 puertas deslizantes) EURO 6 MY15
11945,Nissan NV200 FURGON 110CV COMFORT+ MAMPARA REJILLA EURO 6 (2 puertas deslizantes) EURO 6 MY15
12016,Nissan NV400 Combi 6 L1CH1 2800KG M9T 145HP (107kw) FWD Comfort EURO 6
12017,Nissan NV400 Combi 6 L1CH1 3300KG M9T 145HP (107kw) FWD Comfort EURO 6
12019,Nissan NV400 Combi 6 L2CH2 3500KG M9T 170HP (125kw) FWD Comfort EURO 6
12221,Opel Antara 2.4 16v 167 cv M6 4x2
12222,Opel Antara 2.4 16v 167 cv M6 4x2 (M1-AF)
12226,Opel Antara MY11 2.2 CDTi 184 cv A6 4x4
12230,"Opel Astra ""1.6 CDTI Start & Stop 136 cv M6 (llanta 18"""" y 19"""")"""
12231,"Opel Astra ""1.6 Turbo 180 cv M6 (llanta 18"""" y 19"""")"""
12394,Opel Astra NG 1.6 CDTI Start & Stop 160 cv M6
12573,"Opel Astra ST MY18´5 ""1.7 CDTI 110 cv M6 (llanta 18"""" y 19"""")"""
12852,"Opel COMBO Life EXPRESSION XL 1.5 TD S/S MT5 100 cv MY 19,5"
